employeenumber,age,gender,maritalstatus,education,department,jobrole,joblevel,monthlyincome,percentsalaryhike,jobsatisfaction,environmentsatisfaction,worklifebalance,tenure_years,yearsincurrentrole,yearssincelastpromotion,overtime,attrition_flag
103,46,Male,Divorced,2,Human Resources,Human Resources,2,5021,22,2,2,3,4,2,0,Yes,0
104,30,Male,Married,1,Research & Development,Laboratory Technician,2,5126,12,4,4,2,10,8,3,Yes,0
105,35,Male,Single,3,Research & Development,Research Scientist,1,2859,18,3,2,3,6,4,0,No,0
106,55,Male,Married,2,Sales,Sales Executive,3,10239,14,4,1,3,1,0,1,No,0
107,38,Female,Divorced,3,Research & Development,Research Scientist,2,5329,12,4,2,3,13,11,1,Yes,0
110,34,Male,Married,2,Research & Development,Manufacturing Director,2,4325,15,2,1,3,5,2,1,No,0
112,56,Male,Single,3,Research & Development,Manufacturing Director,3,7260,11,4,4,2,6,4,0,No,0
113,23,Male,Divorced,1,Sales,Sales Representative,1,2322,13,1,3,3,0,0,0,No,0
116,51,Male,Married,4,Research & Development,Laboratory Technician,1,2075,23,4,4,3,4,2,0,No,0
117,30,Male,Married,3,Research & Development,Healthcare Representative,2,4152,19,4,3,3,11,10,10,No,0
118,46,Male,Single,2,Sales,Sales Executive,3,9619,16,4,3,3,9,8,4,No,1
119,40,Male,Married,4,Research & Development,Healthcare Representative,4,13503,22,2,3,2,22,3,11,No,0
120,51,Male,Single,4,Sales,Sales Executive,2,5441,22,4,3,1,10,7,1,Yes,0
121,30,Female,Divorced,2,Sales,Sales Executive,2,5209,12,2,3,2,11,8,2,Yes,0
124,46,Male,Married,3,Research & Development,Healthcare Representative,3,10673,13,1,3,2,10,9,9,Yes,0
125,32,Male,Single,4,Sales,Sales Executive,2,5010,16,3,2,3,11,8,5,No,0
126,54,Female,Married,4,Research & Development,Research Director,3,13549,12,3,1,1,4,3,0,No,0
128,24,Female,Married,2,Sales,Sales Executive,2,4999,21,3,1,2,3,2,0,No,0
129,28,Male,Married,3,Sales,Sales Executive,2,4221,15,3,2,4,5,4,0,No,0
131,58,Male,Single,4,Sales,Sales Executive,4,13872,13,3,4,2,37,10,1,No,0
132,44,Male,Married,3,Research & Development,Laboratory Technician,2,2042,12,2,2,4,3,2,1,No,0
133,37,Male,Divorced,4,Human Resources,Human Resources,1,2073,22,1,3,3,3,2,0,Yes,1
134,32,Male,Single,1,Research & Development,Research Scientist,1,2956,13,1,4,3,1,0,0,No,0
137,20,Female,Single,3,Research & Development,Laboratory Technician,1,2926,18,4,4,3,1,0,1,Yes,1
138,34,Female,Single,4,Research & Development,Research Scientist,2,4809,14,3,1,3,16,13,2,No,0
139,37,Male,Divorced,2,Research & Development,Healthcare Representative,2,5163,14,4,3,4,1,0,0,No,0
140,59,Female,Married,4,Human Resources,Manager,5,18844,21,4,3,3,3,2,2,No,0
141,50,Female,Married,3,Research & Development,Research Director,5,18172,19,2,1,2,8,3,0,Yes,0
142,25,Male,Single,3,Sales,Sales Executive,2,5744,11,3,3,3,6,4,0,Yes,1
143,25,Male,Married,1,Research & Development,Research Scientist,1,2889,11,4,4,3,2,2,2,No,0
144,22,Female,Single,3,Research & Development,Laboratory Technician,1,2871,15,4,2,3,0,0,0,No,0
145,51,Female,Single,4,Research & Development,Healthcare Representative,3,7484,20,1,1,2,13,12,12,No,0
147,34,Male,Single,3,Research & Development,Laboratory Technician,2,6074,24,3,1,3,9,7,0,Yes,1
148,54,Female,Single,3,Human Resources,Manager,4,17328,12,4,4,3,5,3,4,Yes,0
150,24,Male,Married,1,Research & Development,Laboratory Technician,1,2774,12,3,2,3,5,3,1,No,0
151,34,Female,Divorced,4,Research & Development,Research Scientist,2,4505,15,2,3,3,1,0,0,No,0
152,37,Male,Single,3,Sales,Sales Executive,3,7428,12,4,3,3,5,3,1,No,0
153,34,Female,Single,3,Research & Development,Manager,3,11631,12,1,3,3,11,10,5,No,0
154,36,Female,Married,2,Sales,Sales Executive,3,9738,14,4,2,3,9,7,2,No,0
155,36,Female,Divorced,2,Research & Development,Laboratory Technician,1,2835,22,4,1,3,1,0,0,No,0
158,43,Male,Married,2,Sales,Manager,4,16959,12,4,3,4,25,12,4,Yes,0
159,30,Male,Divorced,3,Research & Development,Research Scientist,1,2613,25,3,1,2,10,7,0,No,0
160,33,Male,Married,2,Sales,Sales Executive,2,6146,13,2,3,4,7,7,0,No,0
161,56,Female,Married,4,Research & Development,Research Scientist,1,4963,18,2,2,3,5,4,4,Yes,1
162,51,Male,Single,3,Research & Development,Research Director,5,19537,13,3,1,3,20,18,15,No,0
163,31,Male,Married,4,Sales,Sales Executive,2,6172,18,3,2,2,7,7,7,Yes,1
164,26,Female,Married,3,Research & Development,Research Scientist,1,2368,19,2,3,2,5,4,4,No,0
165,58,Female,Married,4,Research & Development,Healthcare Representative,3,10312,12,4,4,2,40,10,15,No,1
167,19,Male,Single,1,Sales,Sales Representative,1,1675,19,3,4,2,0,0,0,Yes,1
169,22,Male,Married,1,Research & Development,Laboratory Technician,1,2523,14,4,3,3,2,1,2,No,0
170,49,Female,Married,4,Research & Development,Manufacturing Director,2,6567,14,1,3,2,15,11,5,No,0
171,43,Female,Single,3,Research & Development,Research Scientist,1,4739,12,3,2,3,3,2,1,No,0
174,50,Female,Single,3,Sales,Sales Executive,3,9208,11,4,3,3,2,2,2,No,0
175,31,Female,Married,3,Sales,Sales Executive,2,4559,11,3,2,3,2,2,2,Yes,1
176,41,Male,Divorced,1,Sales,Sales Executive,3,8189,13,3,3,3,9,7,0,Yes,0
177,26,Female,Married,1,Human Resources,Human Resources,1,2942,23,3,3,3,8,7,5,No,0
178,36,Male,Divorced,2,Research & Development,Manufacturing Director,2,4941,20,2,2,3,3,2,0,No,0
179,51,Male,Single,4,Research & Development,Manufacturing Director,3,10650,15,4,1,3,4,2,0,No,1
182,39,Female,Married,4,Sales,Sales Executive,2,5902,14,3,4,4,15,11,5,No,0
183,25,Male,Married,3,Sales,Sales Executive,2,8639,18,3,1,3,2,2,2,No,0
184,30,Male,Married,3,Human Resources,Human Resources,2,6347,19,4,3,1,11,9,4,Yes,0
190,32,Female,Single,3,Research & Development,Laboratory Technician,1,4200,22,1,1,4,5,4,0,No,1
192,45,Male,Single,3,Research & Development,Research Scientist,1,3452,13,4,3,2,6,5,0,No,0
193,38,Female,Single,5,Research & Development,Research Scientist,2,4317,20,3,4,3,3,2,2,Yes,0
194,30,Female,Single,3,Research & Development,Research Scientist,1,2632,14,3,1,2,5,4,0,No,0
195,32,Male,Divorced,2,Sales,Sales Executive,2,4668,17,4,4,4,8,7,0,No,0
197,30,Female,Divorced,3,Research & Development,Research Scientist,1,3204,14,1,4,3,3,2,2,No,0
198,30,Male,Single,1,Research & Development,Laboratory Technician,1,2720,13,4,2,3,5,3,1,No,0
199,41,Male,Divorced,3,Research & Development,Manager,4,17181,13,1,4,2,7,6,7,No,0
200,41,Male,Married,4,Research & Development,Laboratory Technician,1,2238,21,1,3,3,5,0,1,No,0
201,19,Female,Single,1,Research & Development,Laboratory Technician,1,1483,14,2,2,3,1,0,0,No,0
202,40,Female,Divorced,3,Research & Development,Research Scientist,2,5605,11,2,2,3,20,7,2,No,0
204,35,Male,Married,5,Sales,Sales Executive,3,7295,13,2,3,3,10,8,0,No,0
205,53,Male,Married,2,Sales,Sales Representative,2,2306,20,3,2,1,7,7,4,Yes,0
206,45,Male,Divorced,3,Research & Development,Laboratory Technician,2,2348,18,2,2,1,17,9,0,No,0
207,32,Female,Single,3,Sales,Sales Executive,3,8998,14,4,2,3,9,8,3,No,0
208,29,Male,Married,1,Research & Development,Manufacturing Director,2,4319,13,3,4,3,10,7,0,No,0
211,51,Male,Married,4,Research & Development,Manufacturing Director,2,6132,17,3,2,3,1,0,0,No,0
214,58,Female,Married,3,Research & Development,Research Scientist,1,3346,20,2,2,2,1,0,0,Yes,0
215,40,Male,Married,4,Sales,Sales Executive,3,10855,11,4,3,2,12,11,2,No,0
216,34,Female,Married,4,Sales,Sales Representative,1,2231,18,3,3,3,4,3,1,No,0
217,22,Male,Married,1,Research & Development,Research Scientist,1,2323,24,4,3,3,2,2,2,No,0
218,27,Male,Divorced,3,Research & Development,Research Scientist,1,2024,18,2,4,1,2,2,2,No,0
221,28,Male,Married,3,Research & Development,Research Scientist,1,2713,11,4,3,1,5,2,0,No,0
223,57,Male,Divorced,2,Research & Development,Healthcare Representative,3,9439,16,4,3,1,5,3,1,Yes,0
224,27,Male,Divorced,3,Research & Development,Research Scientist,1,2566,15,3,3,2,1,1,0,Yes,0
226,50,Female,Single,3,Research & Development,Manager,5,19926,15,2,3,3,5,4,4,No,0
227,41,Male,Divorced,3,Research & Development,Research Scientist,1,2451,12,3,1,3,9,8,1,No,0
228,30,Female,Married,3,Sales,Sales Executive,3,9419,12,4,2,3,10,9,7,No,0
230,38,Female,Single,4,Sales,Sales Executive,2,8686,22,4,1,4,8,3,0,No,0
231,32,Male,Single,5,Research & Development,Research Scientist,1,3038,20,3,3,3,5,4,1,No,0
233,27,Male,Married,3,Research & Development,Research Scientist,1,3058,16,2,3,2,5,2,1,Yes,0
235,19,Female,Single,1,Sales,Sales Representative,1,2325,21,1,3,4,0,0,0,No,1
238,36,Male,Single,2,Research & Development,Laboratory Technician,1,2088,12,2,4,2,8,7,7,No,0
239,30,Male,Divorced,3,Research & Development,Laboratory Technician,2,3072,11,1,3,3,12,9,6,No,0
240,45,Female,Divorced,2,Sales,Sales Executive,2,5006,11,1,3,4,5,4,0,Yes,0
241,56,Female,Divorced,3,Research & Development,Research Scientist,1,4257,18,1,3,3,2,2,2,Yes,0
242,33,Male,Single,3,Research & Development,Research Scientist,1,2500,14,4,3,4,3,1,0,No,0
243,19,Male,Single,3,Research & Development,Laboratory Technician,1,1102,22,4,2,2,1,0,1,No,1
244,46,Female,Divorced,2,Sales,Sales Executive,3,10453,25,1,2,3,24,13,15,No,0
245,38,Female,Single,2,Research & Development,Laboratory Technician,1,2288,12,4,3,3,2,2,2,No,0
246,31,Female,Married,1,Research & Development,Research Scientist,1,3929,23,4,3,3,4,2,0,Yes,0
247,34,Female,Single,2,Research & Development,Research Scientist,1,2311,15,2,4,3,3,2,1,No,0
248,41,Female,Single,2,Sales,Sales Representative,1,3140,22,2,2,2,4,3,0,Yes,1
249,50,Male,Married,3,Research & Development,Laboratory Technician,1,3690,15,3,3,2,3,2,0,No,0
250,53,Female,Divorced,2,Research & Development,Manufacturing Director,2,4450,11,1,4,3,4,2,1,No,0
252,33,Female,Married,3,Research & Development,Research Scientist,1,2756,13,2,4,3,8,7,1,No,0
253,40,Female,Married,1,Research & Development,Manager,5,19033,14,3,4,3,20,8,9,No,0
254,55,Male,Single,4,Research & Development,Research Director,5,18722,11,2,3,3,24,15,2,No,0
256,34,Male,Married,1,Research & Development,Manufacturing Director,2,9547,17,3,4,2,10,9,1,No,0
258,51,Female,Single,3,Research & Development,Healthcare Representative,4,13734,18,2,4,3,7,7,1,No,0
259,52,Male,Married,4,Research & Development,Manager,5,19999,14,3,3,3,33,18,11,No,0
260,27,Female,Single,3,Research & Development,Research Scientist,1,2279,16,2,4,2,7,7,0,No,0
261,35,Male,Married,2,Research & Development,Manufacturing Director,2,5916,13,3,2,3,1,0,0,Yes,1
262,43,Male,Divorced,3,Research & Development,Research Scientist,1,2089,14,4,4,4,5,4,2,No,0
264,45,Male,Married,2,Research & Development,Manager,4,16792,23,4,1,3,20,8,11,No,0
267,37,Male,Married,3,Research & Development,Research Scientist,1,3564,12,1,2,2,8,7,1,Yes,0
269,35,Female,Single,3,Research & Development,Laboratory Technician,2,4425,11,2,2,3,6,2,1,No,0
270,42,Female,Divorced,2,Research & Development,Manufacturing Director,2,5265,16,3,3,3,5,3,0,No,0
271,38,Male,Married,4,Research & Development,Manufacturing Director,2,6553,14,3,4,3,1,0,0,No,0
273,38,Male,Married,3,Research & Development,Manufacturing Director,2,6261,18,4,4,1,7,7,1,No,0
274,27,Male,Married,1,Research & Development,Manufacturing Director,2,4298,19,1,3,3,2,2,2,No,0
275,49,Male,Divorced,4,Research & Development,Manufacturing Director,2,6804,15,4,4,3,7,7,1,Yes,0
277,34,Male,Divorced,4,Research & Development,Research Scientist,1,3815,17,3,4,4,5,3,2,Yes,0
281,40,Male,Married,2,Research & Development,Laboratory Technician,2,2741,15,4,3,4,7,2,3,Yes,0
282,38,Male,Married,1,Research & Development,Healthcare Representative,2,6673,19,1,2,3,1,0,0,Yes,1
283,29,Female,Married,3,Sales,Sales Executive,3,7639,22,4,2,2,10,4,1,No,1
284,22,Male,Divorced,3,Research & Development,Research Scientist,1,2328,16,2,4,2,4,2,2,Yes,0
286,36,Female,Single,1,Research & Development,Laboratory Technician,1,2153,13,4,2,3,8,1,1,No,0
287,40,Male,Married,5,Research & Development,Healthcare Representative,2,4876,14,4,4,1,3,2,0,No,0
288,46,Male,Divorced,4,Research & Development,Healthcare Representative,3,9396,16,1,4,3,4,2,0,No,0
291,32,Male,Married,4,Sales,Sales Executive,3,10400,11,4,4,2,14,8,9,No,1
292,30,Male,Single,1,Research & Development,Manufacturing Director,3,8474,22,3,3,3,11,8,5,No,0
293,27,Female,Single,3,Sales,Sales Executive,2,9981,14,3,4,3,7,7,0,No,0
296,51,Male,Married,4,Research & Development,Research Director,3,12490,16,2,2,1,10,9,4,No,0
297,30,Female,Single,3,Research & Development,Research Scientist,1,2657,11,1,4,3,5,2,0,Yes,1
298,41,Female,Single,3,Sales,Manager,3,13591,18,4,4,3,1,0,0,Yes,0
299,30,Female,Single,4,Sales,Sales Executive,2,6696,15,1,3,2,6,3,0,No,1
300,29,Male,Single,3,Research & Development,Research Scientist,1,2058,14,3,3,2,6,2,1,No,1
302,45,Female,Single,3,Sales,Sales Executive,3,8865,12,4,4,3,19,7,12,No,0
303,54,Female,Married,3,Sales,Sales Executive,2,5940,14,1,4,3,6,2,0,No,0
304,36,Male,Single,2,Research & Development,Laboratory Technician,2,5914,16,2,4,4,13,11,3,No,0
305,33,Female,Married,4,Research & Development,Research Scientist,1,2622,21,2,3,3,3,2,1,No,0
306,37,Male,Divorced,3,Research & Development,Research Director,3,12185,14,4,2,3,10,8,0,Yes,0
307,38,Male,Divorced,3,Sales,Sales Executive,3,10609,12,3,1,2,16,10,5,No,0
308,31,Male,Married,4,Research & Development,Manufacturing Director,2,4345,12,3,3,3,5,4,1,No,0
309,59,Male,Married,3,Research & Development,Research Scientist,1,2177,17,4,3,3,1,0,0,No,0
311,37,Male,Divorced,4,Sales,Sales Representative,1,2793,17,4,1,3,9,8,5,No,0
312,29,Female,Married,1,Sales,Sales Executive,3,7918,14,4,2,3,11,10,4,No,0
314,35,Female,Single,3,Sales,Sales Executive,3,8789,14,3,3,4,10,7,0,No,0
315,29,Male,Single,1,Research & Development,Research Scientist,1,2389,13,4,3,2,4,3,0,Yes,1
316,52,Female,Single,3,Research & Development,Laboratory Technician,1,3212,15,4,3,2,2,2,2,No,0
319,42,Male,Married,2,Research & Development,Manager,5,19232,11,4,3,3,22,17,11,No,0
321,59,Male,Married,2,Human Resources,Human Resources,1,2267,17,3,2,2,2,2,2,No,0
323,50,Female,Divorced,4,Sales,Manager,5,19517,11,4,4,2,7,0,0,No,0
325,33,Male,Married,3,Research & Development,Laboratory Technician,1,2436,13,4,3,1,5,4,0,Yes,1
327,43,Female,Married,3,Sales,Manager,4,16064,22,4,4,3,17,13,1,Yes,0
328,33,Female,Married,2,Research & Development,Laboratory Technician,1,2707,20,1,1,4,9,7,1,No,1
329,52,Male,Single,4,Sales,Manager,5,19068,18,3,1,4,33,7,15,Yes,0
330,32,Female,Married,2,Sales,Sales Representative,1,3931,11,2,3,3,4,3,1,No,0
331,32,Male,Single,3,Research & Development,Laboratory Technician,1,3730,14,3,4,1,3,2,1,Yes,1
332,39,Female,Divorced,4,Research & Development,Laboratory Technician,1,2232,14,3,3,3,3,2,1,No,0
333,32,Male,Married,4,Sales,Sales Executive,2,4465,18,4,3,3,3,2,2,No,0
334,41,Male,Divorced,2,Research & Development,Research Scientist,2,3072,16,1,3,2,1,0,0,No,0
335,40,Male,Divorced,2,Research & Development,Research Scientist,2,3319,17,4,1,3,9,8,4,No,0
336,45,Male,Married,3,Research & Development,Manager,5,19202,11,4,3,3,24,0,1,No,0
337,31,Male,Divorced,4,Research & Development,Research Director,3,13675,12,3,2,3,2,2,2,No,0
338,33,Female,Married,4,Research & Development,Research Scientist,1,2911,13,4,3,2,2,2,0,No,0
339,34,Male,Married,4,Research & Development,Manufacturing Director,2,5957,13,1,4,3,11,9,5,No,0
340,37,Female,Married,2,Research & Development,Research Scientist,1,3920,14,1,3,2,3,1,0,No,0
341,45,Male,Married,4,Research & Development,Manufacturing Director,2,6434,17,3,1,3,3,2,0,No,0
342,37,Male,Divorced,3,Research & Development,Manufacturing Director,3,10048,11,3,1,3,1,0,0,No,1
343,39,Female,Single,4,Research & Development,Healthcare Representative,3,10938,25,3,3,3,19,6,11,No,0
346,29,Male,Single,3,Research & Development,Research Scientist,1,2340,19,4,3,3,6,5,1,No,0
347,42,Female,Single,2,Research & Development,Research Scientist,2,6545,13,1,4,3,3,2,0,Yes,0
349,29,Male,Divorced,2,Sales,Sales Executive,2,6931,14,4,4,3,3,2,0,No,0
350,25,Female,Married,3,Research & Development,Manufacturing Director,2,4898,12,3,1,3,4,2,1,No,0
351,42,Female,Divorced,3,Research & Development,Laboratory Technician,1,2593,11,1,4,3,9,6,7,Yes,0
352,40,Male,Divorced,2,Research & Development,Research Director,5,19436,19,3,1,3,21,7,3,No,0
353,51,Male,Married,3,Research & Development,Research Scientist,1,2723,11,4,3,2,1,0,0,No,0
355,31,Male,Single,2,Research & Development,Laboratory Technician,1,3479,11,2,3,4,5,4,1,No,1
359,32,Male,Married,3,Research & Development,Laboratory Technician,1,2794,20,2,2,1,5,1,0,No,0
361,38,Male,Married,2,Sales,Sales Executive,2,5249,18,4,4,3,8,7,7,No,0
362,32,Male,Single,1,Research & Development,Laboratory Technician,2,2176,13,1,4,3,6,2,0,No,0
363,46,Female,Married,3,Sales,Manager,4,16872,12,2,3,2,7,7,7,Yes,0
364,28,Male,Single,4,Research & Development,Laboratory Technician,1,3485,11,3,1,1,0,0,0,No,1
366,29,Male,Married,3,Sales,Sales Executive,2,6644,19,2,1,3,0,0,0,No,0
367,31,Male,Married,3,Research & Development,Healthcare Representative,2,5582,21,4,2,3,9,0,7,No,0
369,25,Male,Divorced,2,Research & Development,Healthcare Representative,2,4000,12,1,2,3,6,3,1,No,0
372,45,Male,Married,2,Research & Development,Healthcare Representative,4,13496,14,4,3,3,20,7,4,Yes,0
373,36,Male,Married,3,Research & Development,Laboratory Technician,1,3210,11,4,4,3,15,13,10,No,0
374,55,Male,Single,3,Research & Development,Manager,5,19045,14,1,4,3,36,10,4,Yes,0
376,47,Male,Married,4,Research & Development,Manager,3,11849,12,2,1,2,10,7,9,Yes,1
377,28,Male,Married,3,Research & Development,Research Scientist,1,2070,23,4,4,2,5,2,0,No,0
378,37,Male,Married,4,Sales,Sales Executive,2,6502,14,4,3,4,5,4,0,No,0
379,21,Male,Single,2,Research & Development,Research Scientist,1,3230,17,3,4,4,3,2,1,No,0
380,37,Female,Divorced,4,Research & Development,Research Director,3,13603,18,4,1,3,5,2,0,Yes,0
381,35,Female,Divorced,3,Research & Development,Manager,3,11996,18,2,2,2,7,7,6,No,0
382,38,Female,Divorced,2,Sales,Sales Executive,2,5605,24,1,1,3,8,0,7,Yes,0
384,26,Female,Divorced,3,Research & Development,Manufacturing Director,2,6397,20,2,3,1,6,5,1,No,0
385,50,Male,Divorced,1,Research & Development,Research Director,5,19144,14,2,1,2,10,4,1,No,0
386,53,Male,Married,4,Research & Development,Research Director,4,17584,16,3,3,2,5,3,1,Yes,0
